"Mass";"Rating";"Type";"Manufacturer";"Model";"Smallest Cam/Wedge (Official)";"Largest Cam/Wedge (Official)";"End-Wise Wedge (Tricam Cam)";;"Color";"Designation"
"1.7  oz";"8 kN";"Ball Nut";"Trango";"Ball Nutz";".24 in";".47 in";;;"Gold";3
"2.2  oz";"8 kN";"Ball Nut";"Trango";"Ball Nutz";".35 in";".51 in";;;"Green";4
"2.5  oz";"8 kN";"Ball Nut";"Trango";"Ball Nutz";".43 in";".59 in";;;"Purple";5
"2.  oz";"8 kN";"SLCD";"Trango";"FlexCam";".55 in";".7 in";;;"Yellow";1
"2.3  oz";"9 kN";"SLCD";"Trango";"FlexCam";".65 in";".8 in";;;"Blue";2
"2.5  oz";"9 kN";"SLCD";"Trango";"FlexCam";".8 in";"1.1 in";;;"Purple";3
"2.8  oz";"9 kN";"SLCD";"Trango";"FlexCam";"1.1 in";"1.3 in";;;"Green";4
"4.3  oz";"12 kN";"SLCD";"Trango";"FlexCam";"1.2 in";"1.7 in";;;"Red";5
"4.5  oz";"12 kN";"SLCD";"Trango";"FlexCam";"1.4 in";"2.2 in";;;"Yellow";6
"5.  oz";"12 kN";"SLCD";"Trango";"FlexCam";"1.8 in";"2.7 in";;;"Blue";7
"6.3  oz";"12 kN";"SLCD";"Trango";"FlexCam";"2.25 in";"3.4 in";;;"Gray";8
"8.2  oz";"12 kN";"SLCD";"Trango";"FlexCam";"2.7 in";"4.3 in";;;"Purple";9
"3.42  oz";"15 kN";"Big Bro";"Trango";"Big Bro";"2.7 in";"3.4 in";;;"Silver";0.5
"6.17  oz";"15 kN";"Big Bro";"Trango";"Big Bro";"3.2 in";"4.3 in";;;"Red";1
"7.2  oz";"15 kN";"Big Bro";"Trango";"Big Bro";"4. in";"5.7 in";;;"Purple";2
"9.28  oz";"15 kN";"Big Bro";"Trango";"Big Bro";"5.3 in";"8. in";;;"Green";3
"12.31  oz";"15 kN";"Big Bro";"Trango";"Big Bro";"7.5 in";"12. in";;;"Blue";4
"24.59  oz";"15 kN";"Big Bro";"Trango";"Big Bro";"11.3 in";"18.4 in";;;"Gold";5
"3.35  oz";"9 kN";"SLCD - Expanded Range";"Omega Pacific";"Link Cam";".655 in";"1.13 in";;;"Purple";0.5
"4.  oz";"10 kN";"SLCD - Expanded Range";"Omega Pacific";"Link Cam";".825 in";"1.5 in";;;"Green";0.75
"6.2  oz";"14 kN";"SLCD - Expanded Range";"Omega Pacific";"Link Cam";".955 in";"1.85 in";;;"Red";1
"7.3  oz";"14 kN";"SLCD - Expanded Range";"Omega Pacific";"Link Cam";"1.085 in";"2.26 in";;;"Gold";2
".14  oz";"2 kN";"MicroNut/RP";"Black Diamond";"Micro-Stopper";".147 in";".2 in";;;;1
